Site,River,Date_Sampled,Matrix,Scientific_Name,Common_Name,Tissue_Analyzed,Community_Processing,Total_Length,BTHg_WW,BMeHg_WW,Percent_Moisture
Atwereboanda,Pra,10/10/24,Fish,Coptodon zillii,Redbelly Tilapia,Whole body,Fresh,118,27.83,10.85,69.4
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,103,18.29,9.87,82.5
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,85,25.9,13.21,75.8
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,120,54.03,45.19,77.4
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,101,24.61,13.74,73.7
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,160,29.76,10.39,73.7
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,194,18.86,4.68,69.3
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,148,20.71,11.4,74.5
Sanwoma,Ankobra,10/08/24,Fish,Sarotherodon melanotheron,Black Chinned Tilapia,Whole body,Fresh,145,21.48,9.5,75.0
Sanwoma,Ankobra,10/08/24,Fish,Chrysichthys,Catfish,Whole body,Fresh,350,110.49,113.67,74.5
Sanwoma,Ankobra,10/08/24,Fish,Chrysichthys,Catfish,Whole body,Fresh,110,44.79,39.16,86.0
Sanwoma,Ankobra,10/08/24,Fish,Mugil cephalus,Grey Mullet,Whole body,Fresh,260,120.77,116.78,67.8
Sanwoma,Ankobra,10/08/24,Fish,Mugil cephalus,Grey Mullet,Whole body,Fresh,121,19.39,14.1,68.9
Sanwoma,Ankobra,10/08/24,Crustacean,Penaeus,Big shrimp,Whole body,Fresh,90,16.25,0.96,74.4
Sanwoma,Ankobra,10/08/24,Crustacean,Penaeus,Small shrimp,Whole body,Boiled,50,17.03,0.64,82.7
Kukuavile,Ankobra,10/09/24,Fish,ND,Tilapia,Whole body,Smoked,120,458.14,391.73,32.0
Kukuavile,Ankobra,10/09/24,Fish,ND,Tilapia,Muscle,Boiled,NA,97.72,86.38,70.4
