"city","city_type","year","exceed_pm25","exceed_pm10","exceed_o3","exceed_no2"
"Busan","Coastal",2014,0,237,90,74
"Busan","Coastal",2015,359,201,101,67
"Busan","Coastal",2016,362,165,91,82
"Busan","Coastal",2017,298,176,105,61
"Busan","Coastal",2018,355,160,73,40
"Busan","Coastal",2019,344,111,83,22
"Busan","Coastal",2020,325,54,70,7
"Busan","Coastal",2021,295,67,75,2
"Busan","Coastal",2022,280,36,99,1
"Busan","Coastal",2023,276,61,82,2
"Busan","Coastal",2024,251,32,79,5
"Busan","Coastal",2025,310,33,110,1
"Daegu","Inland",2014,0,197,89,74
"Daegu","Inland",2015,350,192,93,61
"Daegu","Inland",2016,355,195,94,26
"Daegu","Inland",2017,298,159,84,22
"Daegu","Inland",2018,328,141,82,16
"Daegu","Inland",2019,328,114,102,6
"Daegu","Inland",2020,320,70,67,19
"Daegu","Inland",2021,279,75,71,14
"Daegu","Inland",2022,273,52,82,11
"Daegu","Inland",2023,272,71,89,6
"Daegu","Inland",2024,245,29,108,1
"Daegu","Inland",2025,259,25,113,3
"Incheon","Coastal",2014,0,217,66,142
"Incheon","Coastal",2015,352,227,100,112
"Incheon","Coastal",2016,345,255,97,85
"Incheon","Coastal",2017,293,182,49,92
"Incheon","Coastal",2018,349,155,78,112
"Incheon","Coastal",2019,349,154,80,88
"Incheon","Coastal",2020,308,92,50,51
"Incheon","Coastal",2021,314,106,90,45
"Incheon","Coastal",2022,318,73,80,29
"Incheon","Coastal",2023,349,112,106,29
"Incheon","Coastal",2024,349,100,107,7
"Incheon","Coastal",2025,303,85,93,9
"Seoul","Inland",2014,118,146,20,79
"Seoul","Inland",2015,320,122,14,66
"Seoul","Inland",2016,334,165,18,51
"Seoul","Inland",2017,273,131,21,42
"Seoul","Inland",2018,277,125,25,32
"Seoul","Inland",2019,289,103,28,37
"Seoul","Inland",2020,270,85,25,25
"Seoul","Inland",2021,258,73,40,22
"Seoul","Inland",2022,252,58,48,11
"Seoul","Inland",2023,268,79,73,10
"Seoul","Inland",2024,249,52,75,2
"Seoul","Inland",2025,207,54,73,3
