"division","age_raw","pop_total","pop_male","pop_female"
"Seoul","0-4 Years old",397667,204216,193451
"Seoul","5-9 Years old",411886,212435,199451
"Seoul","10-14 Years old",545750,283502,262248
"Seoul","15-19 Years old",635237,332292,302945
"Seoul","20-24 Years old",684026,339766,344260
"Seoul","25-29 Years old",898900,439024,459876
"Seoul","30-34 Years old",857764,430797,426967
"Seoul","35-39 Years old",850730,429626,421104
"Seoul","40-44 Years old",797360,393950,403410
"Seoul","45-49 Years old",784467,380404,404063
"Seoul","50-54 Years old",777432,368872,408560
"Seoul","55-59 Years old",592471,283140,309331
"Seoul","60-64 Years old",468836,225186,243650
"Seoul","65-69 Years old",362266,175236,187030
"Seoul","70-74 Years old",263697,121030,142667
"Seoul","75-79 Years old",159797,63867,95930
"Seoul","80-84 Years old",87286,27885,59401
"Seoul","85 Years old & over",55910,14800,41110
"Busan","0-4 Years old",124410,63964,60446
"Busan","5-9 Years old",139125,72380,66745
"Busan","10-14 Years old",199016,105266,93750
"Busan","15-19 Years old",242414,130771,111643
"Busan","20-24 Years old",227742,121532,106210
"Busan","25-29 Years old",247229,124810,122419
"Busan","30-34 Years old",239936,120088,119848
"Busan","35-39 Years old",256860,127090,129770
"Busan","40-44 Years old",271955,131701,140254
"Busan","45-49 Years old",293334,139961,153373
"Busan","50-54 Years old",312412,148927,163485
"Busan","55-59 Years old",248722,120219,128503
"Busan","60-64 Years old",192906,93348,99558
"Busan","65-69 Years old",149213,70620,78593
"Busan","70-74 Years old",115192,50461,64731
"Busan","75-79 Years old",72906,27472,45434
"Busan","80-84 Years old",38632,11168,27464
"Busan","85 Years old & over",21187,4900,16287
"Daegu","0-4 Years old",101667,52769,48898
"Daegu","5-9 Years old",118717,62518,56199
"Daegu","10-14 Years old",167820,89432,78388
"Daegu","15-19 Years old",185952,101944,84008
"Daegu","20-24 Years old",162748,90988,71760
"Daegu","25-29 Years old",169158,84504,84654
"Daegu","30-34 Years old",174275,85967,88308
"Daegu","35-39 Years old",201620,97863,103757
"Daegu","40-44 Years old",217539,105723,111816
"Daegu","45-49 Years old",219070,107258,111812
"Daegu","50-54 Years old",200207,98394,101813
"Daegu","55-59 Years old",148331,71571,76760
"Daegu","60-64 Years old",113154,54023,59131
"Daegu","65-69 Years old",89508,40516,48992
"Daegu","70-74 Years old",74175,31426,42749
"Daegu","75-79 Years old",48893,18491,30402
"Daegu","80-84 Years old",24970,7598,17372
"Daegu","85 Years old & over",13970,3443,10527
"Incheon","0-4 Years old",125447,64454,60993
"Incheon","5-9 Years old",133355,68755,64600
"Incheon","10-14 Years old",178382,92571,85811
"Incheon","15-19 Years old",198204,104048,94156
"Incheon","20-24 Years old",173656,91191,82465
"Incheon","25-29 Years old",200048,101564,98484
"Incheon","30-34 Years old",207697,106099,101598
"Incheon","35-39 Years old",232540,117276,115264
"Incheon","40-44 Years old",240289,118836,121453
"Incheon","45-49 Years old",248709,124696,124013
"Incheon","50-54 Years old",217853,110606,107247
"Incheon","55-59 Years old",140003,70683,69320
"Incheon","60-64 Years old",103653,51458,52195
"Incheon","65-69 Years old",79943,37313,42630
"Incheon","70-74 Years old",65619,27641,37978
"Incheon","75-79 Years old",44994,16478,28516
"Incheon","80-84 Years old",25334,7559,17775
"Incheon","85 Years old & over",16309,4334,11975
