"city","age_group","sex","population"
"Busan","Adults","Female",1275063
"Busan","Adults","Male",1258447
"Busan","Children","Female",220941
"Busan","Children","Male",241610
"Busan","Elderly","Female",232509
"Busan","Elderly","Male",164621
"Daegu","Adults","Female",893819
"Daegu","Adults","Male",898235
"Daegu","Children","Female",183485
"Daegu","Children","Male",204719
"Daegu","Elderly","Female",150042
"Daegu","Elderly","Male",101474
"Incheon","Adults","Female",966195
"Incheon","Adults","Male",996457
"Incheon","Children","Female",211404
"Incheon","Children","Male",225780
"Incheon","Elderly","Female",138874
"Incheon","Elderly","Male",93325
"Seoul","Adults","Female",3724166
"Seoul","Adults","Male",3623057
"Seoul","Children","Female",655150
"Seoul","Children","Male",700153
"Seoul","Elderly","Female",526138
"Seoul","Elderly","Male",402818
